iter	Passed	Remaining
0	2	291
1	5	268
2	7	249
3	11	283
4	14	272
5	16	258
6	18	246
7	20	236
8	22	230
9	32	296
10	35	284
11	38	280
12	40	271
13	42	260
14	46	262
15	49	258
16	53	259
17	56	259
18	62	267
19	65	263
20	68	257
21	71	253
22	74	248
23	76	242
24	79	237
25	81	231
26	84	227
27	86	222
28	91	222
29	93	217
30	95	213
31	98	208
32	100	203
33	103	200
34	105	195
35	107	191
36	109	186
37	112	182
38	114	178
39	117	175
40	119	171
41	121	167
42	123	164
43	126	160
44	129	157
45	131	154
46	133	150
47	136	147
48	138	144
49	140	140
50	142	137
51	144	133
52	147	130
53	149	127
54	151	124
55	154	121
56	156	118
57	158	114
58	160	111
59	163	109
60	166	106
61	168	103
62	170	100
63	172	97
64	175	94
65	178	91
66	180	88
67	183	86
68	185	83
69	187	80
70	189	77
71	192	74
72	194	71
73	196	69
74	198	66
75	201	63
76	204	60
77	206	58
78	208	55
79	210	52
80	213	50
81	215	47
82	218	44
83	220	42
84	223	39
85	226	36
86	228	34
87	230	31
88	232	28
89	235	26
90	237	23
91	240	20
92	242	18
93	244	15
94	247	13
95	249	10
96	251	7
97	253	5
98	256	2
99	258	0
