iter	Logloss
0	0.6486056519
1	0.6133614731
2	0.5853940201
3	0.5642038727
4	0.5454407501
5	0.5310871887
6	0.5172560501
7	0.5026573944
8	0.4906151199
9	0.4799564743
10	0.4691408157
11	0.4600848389
12	0.4514407349
13	0.4448080444
14	0.4381544876
15	0.4325679779
16	0.4265500641
17	0.4184612656
18	0.4127990723
19	0.4067471695
20	0.4000257492
21	0.394269104
22	0.3878404236
23	0.383555603
24	0.379188385
25	0.3748162079
26	0.371974678
27	0.3687567902
28	0.3646115112
29	0.3590483856
30	0.3564375305
31	0.3512818146
32	0.3468652344
33	0.344764061
34	0.3397252655
35	0.3359964752
36	0.3319830322
37	0.3288992691
38	0.3266790009
39	0.3239211273
40	0.3219415665
41	0.3191943359
42	0.315454216
43	0.3117011833
44	0.3086694527
45	0.3067255402
46	0.3054520416
47	0.3022484207
48	0.2995708466
49	0.2975588989
50	0.2958581543
51	0.2912016678
52	0.2863748741
53	0.2838738632
54	0.2801571274
55	0.2772279358
56	0.2752830887
57	0.2709814453
58	0.2681166267
59	0.2666684723
60	0.2624961281
61	0.2609871292
62	0.2575542831
63	0.2555980301
64	0.2521127701
65	0.2493148613
66	0.2465210533
67	0.2431335068
68	0.2390766907
69	0.2360742188
70	0.234100647
71	0.2326157379
72	0.2311478424
73	0.2288687897
74	0.2258290863
75	0.2246800804
76	0.2220349693
77	0.2196344757
78	0.2170576668
79	0.2154055405
80	0.2127143478
81	0.2097505188
82	0.2082709312
83	0.2068354797
84	0.2040645409
85	0.2025880051
86	0.2001285553
87	0.1980629921
88	0.19708498
89	0.1956159973
90	0.1930868721
91	0.191289711
92	0.1893993568
93	0.1878187943
94	0.1870628357
95	0.1857041931
96	0.1821914291
97	0.180200367
98	0.1788635445
99	0.1770314026
