iter	Passed	Remaining
0	3	298
1	5	253
2	7	240
3	9	230
4	11	222
5	13	214
6	15	207
7	17	201
8	19	196
9	21	192
10	23	188
11	25	184
12	27	180
13	28	175
14	30	172
15	32	170
16	34	167
17	36	165
18	38	163
19	40	160
20	42	158
21	43	155
22	45	153
23	47	151
24	49	148
25	51	146
26	53	144
27	55	142
28	57	140
29	59	138
30	61	135
31	62	133
32	64	131
33	66	129
34	68	127
35	70	124
36	72	122
37	74	121
38	76	120
39	78	118
40	80	116
41	82	113
42	84	112
43	86	110
44	88	108
45	90	106
46	92	104
47	94	102
48	97	101
49	99	99
50	100	96
51	102	94
52	104	93
53	106	91
54	108	89
55	110	87
56	112	85
57	114	83
58	116	81
59	118	79
60	120	77
61	122	75
62	124	73
63	126	71
64	128	69
65	130	67
66	132	65
67	134	63
68	136	61
69	138	59
70	140	57
71	142	55
72	144	53
73	147	51
74	149	49
75	151	47
76	153	45
77	154	43
78	156	41
79	158	39
80	160	37
81	163	35
82	165	33
83	167	31
84	169	29
85	171	27
86	173	25
87	175	23
88	177	21
89	179	19
90	180	17
91	182	15
92	184	13
93	186	11
94	188	9
95	192	8
96	208	6
97	212	4
98	215	2
99	218	0
