age,job,employment_duration,number_credits,other_debtors,personal_status_sex,foreign_worker,amount,status,duration,credit_history,people_liable,installment_rate,savings,telephone,property,purpose,other_installment_plans,housing,present_residence,credit_risk
29,3,3,1,1,3,2,6887,1,36,3,2,4,1,2,2,6,2,2,3,0
30,4,2,1,1,4,2,2063,2,6,2,2,4,1,2,3,3,3,1,3,1
53,4,1,1,1,2,2,7485,4,30,1,2,4,5,2,1,1,1,2,1,0
23,2,2,1,1,2,2,976,1,18,2,2,1,1,1,3,0,3,2,2,0
39,2,4,1,1,3,2,1037,2,12,2,2,3,2,1,1,9,3,2,4,1
48,3,3,2,1,3,2,1082,1,12,0,2,4,1,1,3,0,1,2,4,0
23,3,2,1,1,3,2,1444,2,15,2,2,4,5,1,2,3,3,2,1,1
58,2,5,1,3,2,2,1755,1,24,2,2,4,1,2,1,10,3,2,4,1
29,1,2,1,1,2,2,3990,2,36,1,2,3,5,1,4,4,1,2,2,1
29,3,3,2,2,2,2,3499,1,12,4,2,3,1,1,1,0,3,2,2,0
23,3,2,1,1,2,2,448,1,6,2,2,4,1,1,2,6,3,2,4,0
21,3,3,1,2,2,2,3441,2,30,2,2,2,2,1,3,2,1,1,4,0
24,3,5,2,1,3,2,4605,1,48,0,1,3,1,1,4,1,3,3,4,0
31,3,5,2,1,4,2,6148,2,20,0,2,3,2,2,3,1,1,2,4,1
23,3,4,2,1,2,2,1442,1,24,2,2,4,1,1,3,0,3,1,4,0
36,3,5,2,1,3,2,6304,4,36,4,2,4,5,1,1,9,3,2,4,1
21,2,3,1,1,3,2,1987,1,24,2,1,2,1,1,1,3,3,1,4,0
44,2,3,1,1,3,2,6204,2,18,3,1,2,1,2,1,5,3,2,4,1
47,2,5,2,1,3,2,2538,4,24,3,1,4,1,1,3,0,3,2,4,0
51,3,4,1,1,3,2,4771,2,11,3,2,2,1,1,2,3,3,2,4,1
35,3,5,1,1,4,2,1410,2,14,2,2,1,3,2,1,9,3,2,2,1
35,3,5,2,1,3,2,691,1,12,4,2,4,1,1,2,0,3,2,3,0
31,3,5,1,1,3,2,3430,4,24,2,1,3,3,2,3,3,3,2,2,1
63,3,3,1,3,3,2,2924,1,24,2,1,3,1,2,4,1,1,2,4,1
48,3,5,4,1,3,2,5190,4,27,2,1,4,5,2,2,5,3,2,4,1
37,3,3,1,1,3,2,12389,2,36,2,2,1,5,2,4,0,1,3,4,0
23,3,4,2,1,2,2,1553,2,24,3,2,3,2,2,2,3,3,1,2,1
